gutenberg_id,title,author,publication_year,era,decade
71304,A mechanical and critical enquiry into the nature of hermaphrodites,Parsons,1741,Age of Reason,1740s
67363,The Theory of Moral Sentiments,Adam Smith,1777,Age of Reason,1770s
39060,"Wild Oats; or, The Strolling Gentlemen",John O'Keeffe,1791,Age of Reason,1790s
37311,"The Journal, with Other Writings of John Woolman",John Woolman,1774,Age of Reason,1770s
147,Common Sense,Thomas Paine,1776,Age of Reason,1770s
8646,"An Essay on the History of Civil Society, Eighth Edition",Adam Ferguson,1767,Age of Reason,1760s
69736,"Young Grandison, volume 2 (of 2)",Madame de Cambon,1790,Age of Reason,1790s
4085,The Adventures of Roderick Random,T. Smollett,1748,Age of Reason,1740s
20934,"The Natural History of Selborne, Vol. 2",Gilbert White,1789,Age of Reason,1780s
17147,Theodicy,Freiherr von Gottfried Wilhelm Leibniz,1710,Age of Reason,1710s
66230,An Address to the People of New-England,Samuel Hopkins,1757,Age of Reason,1750s
69595,"The life of John Metcalf, commonly called Blind Jack of Knaresborough",Metcalf,1795,Age of Reason,1790s
57576,A Method of Tanning without Bark,William Maple,1729,Age of Reason,1720s
35774,A New Voyage Round the World,a Course Never Sailed Before ,1725,Age of Reason,1720s
5203,The Village and The Newspaper,George Crabbe,1783,Age of Reason,1780s
54531,"Travels to Discover the Source of the Nile, Volume 3 (of 5)",James Bruce,1790,Age of Reason,1790s
60058,Giphantia,Charles-François Tiphaigne de La Roche,1760,Age of Reason,1760s
1292,The Way of the World,William Congreve,1700,Age of Reason,1700s
10859,Paul and Virginia from the French of J.B.H. de Saint Pierre,Saint-Pierre,1788,Age of Reason,1780s
70326,The art of preserving health: A poem,John Armstrong,1744,Age of Reason,1740s
63497,Medicina Gymnastica,Francis Fuller,1705,Age of Reason,1700s
27884,Niels Klim's journey under the ground,Ludvig Holberg,1741,Age of Reason,1740s
35719,The History of the Five Indian Nations of Canada,Cadwallader Colden,1727,Age of Reason,1720s
2060,The History of Caliph Vathek,William Beckford,1786,Age of Reason,1780s
35623,"A Philosophical Dictionary, Volume 03",Voltaire,1764,Age of Reason,1760s
4280,The Critique of Pure Reason,Immanuel Kant,1781,Age of Reason,1780s
48528,The great probability of a North West Passage,Drage and Swaine,1768,Age of Reason,1760s
13439,Divine Songs,Isaac Watts,1715,Age of Reason,1710s
2423,"Anecdotes of the late Samuel Johnson, LL.D.",Hester Lynch Piozzi,1786,Age of Reason,1780s
69116,A discourse on the theory of gunnery,Sir John Pringle,1778,Age of Reason,1770s
68412,"Philosophical transactions, Vol. L. Part II. For the year 1758.",Various et al.,1759,Age of Reason,1750s
49840,The Present Method of Inoculating for the Small-Pox,Thomas Dimsdale,1779,Age of Reason,1770s
31807,The Plague at Marseilles Consider'd,Richard Bradley,1721,Age of Reason,1720s
73012,"The works of the Reverend George Whitefield, Vol. 3 (of 6)",George Whitefield,1771,Age of Reason,1770s
59698,Observations on antimony,John Millar,1774,Age of Reason,1770s
54911,An Account of the Sore Throat Attended With Ulcers,John Fothergill,1748,Age of Reason,1740s
47379,A Bold Stroke for a Husband: A Comedy in Five Acts,Hannah Cowley,1783,Age of Reason,1780s
9604,"Hung Lou Meng, or, the Dream of the Red Chamber, a Chinese Novel, Book II",Cao,1791,Age of Reason,1790s
696,The Castle of Otranto,Horace Walpole,1764,Age of Reason,1760s
36621,"Inkle and Yarico: An opera, in three acts",George Colman,1787,Age of Reason,1780s
56803,Physical Amusements and Diverting Experiments,Giuseppe Pinetti,1784,Age of Reason,1780s
34544,This is not a Story,Denis Diderot,1772,Age of Reason,1770s
59449,History of the government of the island of Newfoundland,John Reeves,1793,Age of Reason,1790s
71866,War : A poem in blank verse,John Spateman,1745,Age of Reason,1740s
51334,The Story of Elizabeth Canning Considered,John Hill,1753,Age of Reason,1750s
69922,"Dairying exemplified, or, The business of cheese-making",J. Twamley,1787,Age of Reason,1780s
34601,"Gammer Gurton's Garland; Or, The Nursery Parnassus",Joseph Ritson,1784,Age of Reason,1780s
1958,Hermann and Dorothea,Johann Wolfgang von Goethe,1796,Age of Reason,1790s
71849,"Travels into North America, Volume 1 (of 3)",Pehr Kalm,1770,Age of Reason,1770s
65066,"The Life of Rev. David Brainerd, Chiefly Extracted from His Diary",David Brainerd,1749,Age of Reason,1740s
74443,Ander,Wold ,1923,Modernist,1920s
74631,"Paris : or, the future of war",Sir Basil Henry Liddell Hart,1925,Modernist,1920s
40477,With Fire and Sword,S. H. M. Byers,1911,Modernist,1910s
71974,The reformation in Poland : Some social and economic aspects,Paul Fox,1924,Modernist,1920s
22880,Bell's Cathedrals: A Short Account of Romsey Abbey,Rev. Thomas Perkins,1907,Modernist,1900s
46901,Giordano Bruno,J. Lewis McIntyre,1903,Modernist,1900s
38348,The Energy System of Matter: A Deduction from Terrestrial Energy Phenomena,Weir,1912,Modernist,1910s
75117,Writing and rewriting,"George Carver, Thomas A. Knott, and William S. Maulsby",1923,Modernist,1920s
36017,"Oscar Wilde, a Critical Study",Arthur Ransome,1912,Modernist,1910s
70451,Haeckel : his life and work,Wilhelm Bölsche,1906,Modernist,1900s
52817,Lightships and Lighthouses,Frederick Arthur Ambrose Talbot,1913,Modernist,1910s
930,The Cook's Decameron,Mrs. W. G. Waters,1901,Modernist,1900s
37388,Tobacco Leaves: Being a Book of Facts for Smokers,William Augustine Brennan,1915,Modernist,1910s
56218,Following the Sun-Flag: A Vain Pursuit Through Manchuria,Jr. John Fox,1905,Modernist,1900s
30300,Orphans of the Storm,Henry MacMahon,1922,Modernist,1920s
61441,The Little Green Goblin,J. B. Naylor,1907,Modernist,1900s
65145,Essays of a Biologist,Julian Huxley,1923,Modernist,1920s
72380,Radio mates,Benjamin Witwer,1927,Modernist,1920s
34510,Some Constituents of the Poison Ivy Plant (Rhus Toxicodendron),Syme,1906,Modernist,1900s
60518,Military Architecture in England During the Middle Ages,A. Hamilton Thompson,1912,Modernist,1910s
34569,Life Everlasting,John Fiske,1901,Modernist,1900s
36224,Notes on the Kiowa Sun Dance,Leslie Spier,1921,Modernist,1920s
45179,The Invention of the Track Circuit,American Railway Association,1922,Modernist,1920s
2384,The Deliverance: A Romance of the Virginia Tobacco Fields,Glasgow,1904,Modernist,1900s
72274,A song-bird,Eleanora H. Stooke,1908,Modernist,1900s
64809,An Adventure,C. A. E. Moberly and Eleanor F. Jourdain,1911,Modernist,1910s
70587,Terry,James Hilton,1927,Modernist,1920s
39011,Disease in plants,H. Marshall Ward,1901,Modernist,1900s
28043,Ships in Harbour,David Morton,1921,Modernist,1920s
70869,"The Ballantyne Press and its founders, 1796-1908",James Ballantyne and Co. et al.,1909,Modernist,1900s
19117,Sergeant York And His People,Sam K. Cowan,1922,Modernist,1920s
31368,"Glimpses of the Past: History of the River St. John, A.D. 1604-1784",Raymond,1905,Modernist,1900s
52522,The Gold Coast Regiment in the East African Campaign,Sir Hugh Charles Clifford,1920,Modernist,1920s
71856,"The boy mechanic, book 3 : 800 things for boys to do",H. H. Windsor,1919,Modernist,1910s
74582,The Wolf-slayer; [Margaret Kaurner],Christoph von Schmid,1911,Modernist,1910s
69102,The Moon,Oliver C. Farrington,1925,Modernist,1920s
59900,The Mud Larks,Crosbie Garstin,1919,Modernist,1910s
23613,"Las Casas: ""The Apostle of the Indies""",Alice J. Knight,1917,Modernist,1910s
41288,Beginners' Book in Language. A Book for the Third Grade,Harry Jewett Jeschke,1918,Modernist,1910s
1840,The Financier: A Novel,Theodore Dreiser,1912,Modernist,1910s
1329,A Voyage to Arcturus,David Lindsay,1920,Modernist,1920s
66597,Early Carriages and Roads,Sir Walter Gilbey,1903,Modernist,1900s
64419,Tales of an Old Sea Port,Wilfred Harold Munro,1917,Modernist,1910s
42723,The Unmasking of Robert-Houdin,Harry Houdini,1908,Modernist,1900s
41765,Half a Hundred Hero Tales of Ulysses and The Men of Old,Storr and Papé,1913,Modernist,1910s
65827,Frederick the Great and the Seven Years' War,Ferdinand Schrader,1905,Modernist,1900s
22417,The Etiquette of To-day,Edith B. Ordway,1920,Modernist,1920s
67937,The Song of Tiadatha,Owen Rutter,1920,Modernist,1920s
14716,The Art of Soul-Winning,J. W. Mahood,1901,Modernist,1900s
63087,Color Standards and Color Nomenclature,Robert Ridgway,1912,Modernist,1910s
25986,Tongues of Conscience,Robert Hichens,1971,Postmodern,1970s
46775,Tea Drinking in 18th-Century America: Its Etiquette and Equipage,Rodris Roth,1961,Postmodern,1960s
54585,Mariner Mission to Venus,Jet Propulsion Laboratory,1963,Postmodern,1960s
62266,The Road Past Kennesaw: The Atlanta Campaign of 1864,Richard M. McMurry,1972,Postmodern,1970s
65812,Survivors,Arthur Dekker Savage,1952,Postmodern,1950s
39690,Harpsichords and Clavichords,Cynthia A. Hoover,1969,Postmodern,1960s
39184,Checklist,Marion Zimmer Bradley and Gene Damon,1960,Postmodern,1960s
71138,"Pioneers of space : A trip to the Moon, Mars, and Venus",George Adamski,1949,Postmodern,1940s
71586,Deadline,Walter L. Kleine,1957,Postmodern,1950s
60143,"Prairie, Peak, and Plateau: A Guide to the Geology of Colorado",John Chronic et al.,1972,Postmodern,1970s
40074,A Dictionary of Cebuano Visayan,John U. Wolff,1972,Postmodern,1970s
74067,Powers of the President during crises,J. Malcolm Smith and Cornelius P. Cotter,1960,Postmodern,1960s
43208,Music in the History of the Western Church,Edward Dickinson,1969,Postmodern,1960s
72138,"Early explorers of Plymouth Harbor, 1525-1619",Henry F. Howe,1953,Postmodern,1950s
74165,He who served,Ray Cummings,1954,Postmodern,1950s
70047,The peaceful atom,Bernice Kohn Hunt,1963,Postmodern,1960s
14495,De Carmine Pastorali,René Rapin,1947,Postmodern,1940s
72119,Deadly decoy,Randall Garrett and Robert Silverberg,1956,Postmodern,1950s
39958,"Life History and Ecology of the Five-Lined Skink, Eumeces fasciatus",Fitch,1954,Postmodern,1950s
72689,Border guard : The story of the United States Customs Service,Don Whitehead,1963,Postmodern,1960s
58295,One Hundred Years in Yosemite: The Story of a Great Park and Its Friends,Russell,1947,Postmodern,1940s
32627,Area Handbook for Bulgaria,"Keefe, Baluyut, Giloane, Long, Moore, and Walpole",1974,Postmodern,1970s
27106,Kinematics of Mechanisms from the Time of Watt,Eugene S. Ferguson,1962,Postmodern,1960s
57835,"George Washington Birthplace National Monument, Virginia",J. Paul Hudson,1956,Postmodern,1950s
32505,The Systematics of the Frogs of the Hyla Rubra Group in Middle America,León,1969,Postmodern,1960s
69280,Simple psiman,F. L. Wallace,1954,Postmodern,1950s
47217,"Fort Sumter National Monument, South Carolina",Frank Barnes,1962,Postmodern,1960s
42620,Prefaces to Four Seventeenth-Century Romances,"Boyle, Ingelo, and Mackenzie",1953,Postmodern,1950s
40110,North American Jumping Mice (Genus Zapus),Philip H. Krutzsch,1954,Postmodern,1950s
26496,Rembrandt's Etching Technique: An Example,Peter Morse,1966,Postmodern,1960s
69043,Chair backs,American Thread Company,1947,Postmodern,1940s
72029,The man who wouldn't sign up,Tom Purdom,1958,Postmodern,1950s
69210,Awakening,Bryce Walton,1955,Postmodern,1950s
59574,U.S.S. Cairo: The Story of a Civil War Gunboat,Jones and Peterson,1971,Postmodern,1970s
73703,The devil downstairs,P. F. Costello,1957,Postmodern,1950s
65704,Guide to the Geologic Map of Illinois,Illinois State Geological Survey,1961,Postmodern,1960s
33628,Emma Goldman: Biographical Sketch,Charles Allan Madison,1960,Postmodern,1960s
16335,Essays on the Stage,Thomas D'Urfey,1948,Postmodern,1940s
47247,"Manassas (Bull Run) National Battlefield Park, Virginia [1953]",Francis Wilshin,1953,Postmodern,1950s
70259,Season's best dishes for 2 or 4 or 6,Mary Lee Taylor and Pet Milk Company,1949,Postmodern,1940s
31325,An Annotated Checklist of Nebraskan Bats,Olin L. Webb and J. Knox Jones,1952,Postmodern,1950s
72628,Partakers of plenty : A study of the first Thanksgiving,Deetz and Anderson,1972,Postmodern,1970s
65605,Indians of Lassen Volcanic National Park and Vicinity,Paul E. Schulz,1954,Postmodern,1950s
72589,The last vial,Sam McClatchie,1960,Postmodern,1960s
70403,The miniature menace,Frank Belknap Long,1950,Postmodern,1950s
70079,Architecture : nineteenth and twentieth centuries,Henry-Russell Hitchcock,1963,Postmodern,1960s
61230,The Geology of Button Bay State Park,Harry W. Dodge,1962,Postmodern,1960s
70944,Knock three-one-two,Fredric Brown,1959,Postmodern,1950s
68335,The Big Night,Henry Kuttner,1947,Postmodern,1940s
62191,Hong Kong,Gene Gleason,1963,Postmodern,1960s
72014,Coloured engravings of heaths; vol. 1,active 1799-1828 Henry Cranke Andrews,1802,Romantic,1800s
68915,"Modern literature: a novel, Volume 1 (of 3)",Robert Bisset,1804,Romantic,1800s
68612,An account of the principalities of Wallachia and Moldavia,William Wilkinson,1820,Romantic,1820s
56684,The Lectures on Faith,Jr. Joseph Smith,1835,Romantic,1830s
46392,"Illustrations of the Family of Psittacidæ, or Parrots",Edward Lear,1832,Romantic,1830s
6566,Thaddeus of Warsaw,Jane Porter,1803,Romantic,1800s
38232,Calvinistic Controversy,Wilbur Fisk,1835,Romantic,1830s
4245,A History of the Early Part of the Reign of James the Second,Charles James Fox,1808,Romantic,1800s
41218,The Diary of John Evelyn (Volume 1 of 2),John Evelyn,1818,Romantic,1810s
44747,The Red and the Black: A Chronicle of 1830,Stendhal,1830,Romantic,1830s
13121,A Voyage to Terra Australis — Volume 2,Matthew Flinders,1814,Romantic,1810s
33310,"On The Principles of Political Economy, and Taxation",David Ricardo,1817,Romantic,1810s
35474,The Shepherd's Calendar. Volume I (of II),James Hogg,1829,Romantic,1820s
4554,Lovers' Vows,August von Kotzebue and Mrs. Inchbald,1798,Romantic,1790s
44193,Byron's Narrative of the Loss of the Wager,John Byron,1832,Romantic,1830s
10119,Adonais,Percy Bysshe Shelley,1821,Romantic,1820s
8905,"Lyrical Ballads, with Other Poems, 1800, Volume 1",William Wordsworth,1798,Romantic,1790s
72540,"The doctor, &c., vol. 6 (of 7)",Robert Southey,1834,Romantic,1830s
29188,Ebrietatis Encomium,Albert-Henri de Sallengre,1812,Romantic,1810s
33089,"Kalevala, The Land of the Heroes, Volume Two",Elias Lönnrot and W. F. Kir,1835,Romantic,1830s
37116,History of the Buccaneers of America,James Burney,1816,Romantic,1810s
68824,"Lewesdon Hill, with other poems",William Crowe,1827,Romantic,1820s
69816,"The works of Richard Hurd, volume 7 (of 8)",Richard Hurd,1811,Romantic,1810s
44335,"Curialia Miscellanea, or Anecdotes of Old Times",Samuel Pegge,1818,Romantic,1810s
41352,The Art of Cookery Made Easy and Refined,John Mollard,1802,Romantic,1800s
71888,Lives of the apostles of Jesus Christ,David Francis Bacon,1836,Romantic,1830s
37344,Four Years in France,Henry Dig,1826,Romantic,1820s
4911,Wacousta : a tale of the Pontiac conspiracy — Volume 3,Major Richardson,1832,Romantic,1830s
1371,"Astoria; Or, Anecdotes of an Enterprise Beyond the Rocky Mountains",Irving,1836,Romantic,1830s
71036,John Williams : or The sailor boy,Dorothea Lynde Dix,1827,Romantic,1820s
10681,Roget's Thesaurus of English Words and Phrases,Peter Mark Roget,1805,Romantic,1800s
71169,"Illustrations of political economy, Volume 3 (of 9)",Harriet Martineau,1834,Romantic,1830s
1454,Maitre Cornelius,Honoré de Balzac,1831,Romantic,1830s
73283,"The bombardier, and pocket gunner",Ralph Willett Adye,1804,Romantic,1800s
14100,Eighteen Hundred and Eleven,Mrs. Barbauld,1812,Romantic,1810s
68772,An inaugural dissertation on pulmonary consumption,Edward Delafield,1816,Romantic,1810s
74948,"A new system of chemical philosophy, Volume 2, Part 1",John Dalton,1827,Romantic,1820s
55266,The Art of Glass-Blowing,T.-P. Danger,1831,Romantic,1830s
19068,Household Stories,the Brothers Grimm ,1812,Romantic,1810s
10866,The Dolorous Passion of Our Lord Jesus Christ,Anna Katharina Emmerich,1833,Romantic,1830s
5013,State of the Union Addresses,James Madison,1811,Romantic,1810s
39590,Some Account of Llangollen and Its Vicinity,W. T. Simpson,1827,Romantic,1820s
69336,The shipwreck,William Falconer,1818,Romantic,1810s
9209,"The Haunted Mind (From ""Twice Told Tales"")",Nathaniel Hawthorne,1835,Romantic,1830s
5210,The Borough,George Crabbe,1810,Romantic,1810s
39028,Servian Popular Poetry,John Bowring and Vuk Stefanović Karadžić,1827,Romantic,1820s
29372,A Discourse on the Study of the Law of Nature and Nations,Sir James Mackintosh,1828,Romantic,1820s
31178,Thoughts on African Colonization,William Lloyd Garrison,1832,Romantic,1830s
62745,Dissertation on the Gipseys,Heinrich Moritz Gottlieb Grellmann,1807,Romantic,1800s
61777,Journal of the Life and Religious Labours of Elias Hicks,Elias Hicks,1832,Romantic,1830s
48616,The Redemption of Freetown,Charles M. Sheldon,1898,Victorian,1890s
45020,The Divining Rod: Virgula Divina—Baculus Divinatorius (Water-Witching),Latimer,1876,Victorian,1870s
44929,The Basis of Morality,Arthur Schopenhauer,1840,Victorian,1840s
22037,"The Life, Public Services and Select Speeches of Rutherford B. Hayes",Howard,1876,Victorian,1870s
69870,Rose Mather: A tale,Mary Jane Holmes,1868,Victorian,1860s
28446,Uncle Terry: A Story of the Maine Coast,Charles Clark Munn,1900,Victorian,1900s
46032,Vitus Bering: the Discoverer of Bering Strait,Peter Lauridsen,1889,Victorian,1880s
35260,"Rubáiyát of Omar Khayyam, Rendered into English Verse",Omar Khayyam,1859,Victorian,1850s
35872,Cuba Past and Present,Richard Davey,1898,Victorian,1890s
7064,A Half-Century of Conflict - Volume II,Francis Parkman,1865,Victorian,1860s
67258,A Selection of Cases on the Law of Torts,"Ames, Pound, and Smith",1893,Victorian,1890s
68067,"Frank Reade, Jr., with his new steam horse in the great American desert",Senarens,1892,Victorian,1890s
63740,A Letter on the Late Post Office Agitation,C. J. Vaughan,1849,Victorian,1840s
71927,A visit to the Roman catacombs,J. Spencer Northcote,1891,Victorian,1890s
5109,Ragnarok : the Age of Fire and Gravel,Ignatius Donnelly,1883,Victorian,1880s
43643,Foods and Culinary Utensils of the Ancients,Charles Martyn,1900,Victorian,1900s
33485,Village Life in China: A Study in Sociology,Arthur H. Smith,1899,Victorian,1890s
30296,The Philosophy of Teaching,Nathaniel Sands,1869,Victorian,1860s
47119,Fragments of Earth Lore: Sketches & Addresses Geological and Geographical,Geikie,1893,Victorian,1890s
72306,"Tea, its history and mystery",Joseph M. Walsh,1892,Victorian,1890s
75059,The American in Paris; vol. 1 of 2,John Sanderson,1838,Victorian,1830s
31470,"John March, Southerner",George Washington Cable,1894,Victorian,1890s
14081,The Three Jovial Huntsmen,Randolph Caldecott,1880,Victorian,1880s
31185,Chapters in the History of the Insane in the British Isles,Daniel Hack Tuke,1882,Victorian,1880s
48869,Fact and Fable in Psychology,Joseph Jastrow,1900,Victorian,1900s
1330,"The Story of Little Black Sambo, and The Story of Little Black Mingo",Bannerman,1899,Victorian,1890s
50473,Letters of Felix Mendelssohn-Bartholdy from 1833 to 1847,Mendelssohn-Bartholdy,1863,Victorian,1860s
10638,The Youthful Wanderer,George H. Heffner,1876,Victorian,1870s
74156,Immortality proved,the testimony of sense : In which is contemplated the…,1859,Victorian,1850s
9404,The Story of the Malakand Field Force: An Episode of Frontier War,Churchill,1898,Victorian,1890s
57890,"The Comanches: A History of White's Battalion, Virginia Cavalry",Frank M. Myers,1871,Victorian,1870s
54976,The Molecular Tactics of a Crystal,Baron William Thomson Kelvin,1894,Victorian,1890s
60399,Thomas Reid,Alexander Campbell Fraser,1898,Victorian,1890s
18891,Dot and the Kangaroo,Ethel C. Pedley,1899,Victorian,1890s
50908,A Relic of the Revolution,Charles Herbert,1847,Victorian,1840s
57810,It Was Marlowe: A Story of the Secret of Three Centuries,Wilbur Gleason Zeigler,1895,Victorian,1890s
35400,Presidential Candidates:,D. W. Bartlett,1859,Victorian,1850s
39070,The Sun changes its position in space,August Tischner,1883,Victorian,1880s
41069,Calumny Refuted,Facts From Liberia ,1848,Victorian,1840s
33904,A briefe discription of New England and the severall townes therein,Maverick,1885,Victorian,1880s
35835,History of Prince Edward Island,Duncan Campbell,1875,Victorian,1870s
56494,Ecclesiastical Vestments: Their development and history,Macalister,1896,Victorian,1890s
42138,Pike & Cutlass: Hero Tales of Our Navy,George Gibbs,1900,Victorian,1900s
19690,Apologia pro vita sua,John Henry Newman,1864,Victorian,1860s
38907,Transcendentalism in New England: A History,Octavius Brooks Frothingham,1876,Victorian,1870s
36098,The Flowers of Evil,Charles Baudelaire,1857,Victorian,1850s
69370,"Leaves from our Tuscan kitchen; or, How to cook vegetables",Janet Ross,1899,Victorian,1890s
10136,The Book of Household Management,Mrs. Beeton,1861,Victorian,1860s
57323,"Hartmann, the Anarchist; Or, The Doom of the Great City",E. Douglas Fawcett,1893,Victorian,1890s
69171,Mother Hubbard's cupboard: Recipes collected,"the Young Ladies' Society,…",1887,Victorian,1880s
